Name,MemoryPosition,midiType,midiType_2nd,Note,Note_2nd,MaximumValue,MaximumValue_2nd,MinimumValue,MinimumValue_2nd,MidiChannel,MidiChannel_2nd,Toggle,Toggle_2nd,Keys,Keys_2nd,Modifiers,Modifiers_2nd,DMXAddress,DMXAddress_2nd,Page,Hide,posX,posY,shape,dimensionX,dimensionY,labeler,led,hint_message
P1,28,2,2,25,25,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,120,190,2,39,45,1,0,Rotary potentiometer
P2,27,2,2,26,26,127,127,0,0,1,2,11,11,0,0,0,0,1,0,0,0,180,190,2,39,45,1,0,Rotary potentiometer
P3,25,2,2,27,27,127,127,0,0,1,2,11,11,0,0,0,0,2,0,0,0,242,190,2,39,45,1,0,Rotary potentiometer
P4,26,2,2,28,28,127,127,0,0,1,2,11,11,0,0,0,0,3,0,0,0,302,190,2,39,45,1,0,Rotary potentiometer
P5,18,2,2,29,29,127,127,0,0,1,2,11,11,0,0,0,0,4,0,0,0,120,253,2,39,45,1,0,Rotary potentiometer
P6,17,2,2,30,30,127,127,0,0,1,2,11,11,0,0,0,0,5,0,0,0,180,253,2,39,45,1,0,Rotary potentiometer
P7,19,2,2,31,31,127,127,0,0,1,2,11,11,0,0,0,0,6,0,0,0,242,253,2,39,45,1,0,Rotary potentiometer
P8,20,2,2,32,32,127,127,0,0,1,2,11,11,0,0,0,0,7,0,0,0,302,253,2,39,45,1,0,Rotary potentiometer
P9,12,2,2,33,33,127,127,0,0,1,2,11,11,0,0,0,0,8,0,0,0,362,190,2,39,45,1,0,Rotary potentiometer
P10,11,2,2,34,34,127,127,0,0,1,2,11,11,0,0,0,0,9,0,0,0,424,190,2,39,45,1,0,Rotary potentiometer
P11,9,2,2,35,35,127,127,0,0,1,2,11,11,0,0,0,0,10,0,0,0,484,190,2,39,45,1,0,Rotary potentiometer
P12,10,2,2,36,36,127,127,0,0,1,2,11,11,0,0,0,0,11,0,0,0,544,190,2,39,45,1,0,Rotary potentiometer
P13,2,2,2,37,37,127,127,0,0,1,2,11,11,0,0,0,0,12,0,0,0,362,253,2,39,45,1,0,Rotary potentiometer
P14,1,2,2,38,38,127,127,0,0,1,2,11,11,0,0,0,0,13,0,0,0,424,253,2,39,45,1,0,Rotary potentiometer
P15,3,2,2,39,39,127,127,0,0,1,2,11,11,0,0,0,0,14,0,0,0,484,253,2,39,45,1,0,Rotary potentiometer
P16,4,2,2,40,40,127,127,0,0,1,2,11,11,0,0,0,0,15,0,0,0,544,253,2,39,45,1,0,Rotary potentiometer
F1,34,2,2,41,41,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,230,470,5,59,66,1,24,Slide potentiometer
F2,33,2,2,42,42,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,294,470,5,59,66,1,24,Slide potentiometer
B1,21,0,0,60,60,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,120,316,1,39,45,1,9,Push button + LED
B2,22,0,0,61,61,127,127,0,0,1,2,1,1,0,0,0,0,1,0,0,0,180,316,1,39,45,1,10,Push button + LED
B3,23,0,0,62,62,127,127,0,0,1,2,1,1,0,0,0,0,2,28,0,0,242,316,1,39,45,1,11,Push button + LED
B4,24,0,0,63,63,127,127,0,0,1,2,1,1,0,0,0,0,3,0,0,0,302,316,1,39,45,1,12,Push button + LED
B5,32,0,0,64,64,127,127,0,0,1,2,1,1,0,0,0,0,4,0,0,0,120,380,1,39,45,1,16,Push button + LED
B6,31,0,0,65,65,127,127,0,0,1,2,1,1,0,0,0,0,5,0,0,0,180,380,1,39,45,1,15,Push button + LED
B7,30,0,0,66,66,127,127,0,0,1,2,1,1,0,0,0,0,6,0,0,0,242,380,1,39,45,1,14,Push button + LED
B8,29,0,0,67,67,127,127,0,0,1,2,1,1,0,0,0,0,7,0,0,0,302,380,1,39,45,1,13,Push button + LED
B9,5,0,0,68,68,127,127,0,0,1,2,1,1,0,0,0,0,8,0,0,0,362,316,1,39,45,1,1,Push button + LED
B10,6,0,0,69,69,127,127,0,0,1,2,1,1,0,0,0,0,9,0,0,0,424,316,1,39,45,1,2,Push button + LED
B11,7,0,0,70,70,127,127,0,0,1,2,1,1,0,0,0,0,10,0,0,0,484,316,1,39,45,1,3,Push button + LED
B12,8,0,0,71,71,127,127,0,0,1,2,1,1,0,0,0,0,11,0,0,0,544,316,1,39,45,1,4,Push button + LED
B13,16,0,0,72,72,127,127,0,0,1,2,1,1,0,0,0,0,12,0,0,0,362,380,1,39,45,1,8,Push button + LED
B14,15,0,0,73,73,127,127,0,0,1,2,1,1,0,0,0,0,13,0,0,0,424,380,1,39,45,1,7,Push button + LED
B15,14,0,0,74,74,127,127,0,0,1,2,1,1,0,0,0,0,14,0,0,0,484,380,1,39,45,1,6,Push button + LED
B16,13,0,0,75,75,127,127,0,0,1,2,1,1,0,0,0,0,15,0,0,0,544,380,1,39,45,1,5,Push button + LED
B17,38,0,0,76,76,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,39,202,1,59,66,1,0,Push button ARCADE
B18,37,0,0,77,77,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,39,476,1,59,66,1,0,Push button ARCADE
B19,40,0,0,78,78,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,105,527,1,59,66,1,0,Push button ARCADE
B20,39,0,0,79,79,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,170,476,1,59,66,1,0,Push button ARCADE
J1,48,0,2,49,49,127,127,8,8,1,2,21,21,0,0,0,0,2,2,0,0,424,450,7,100,111,1,24,Top spinner
J2,43,2,2,52,52,127,127,8,16,1,2,22,22,0,0,0,0,1,2,0,0,47,345,7,47,52,1,24,Side spinner
T1,44,2,2,51,31,4,4,70,10,1,2,23,23,0,0,0,0,64,64,0,0,444,572,8,62,22,1,0,Touch sensor 1
T2,42,2,2,53,53,5,5,80,70,1,2,24,24,0,0,0,0,64,0,0,0,38,310,8,62,22,1,0,Touch sensor 2
gp2d,36,2,2,50,50,127,127,0,0,1,2,18,18,0,0,0,0,0,0,0,0,109,445,8,62,22,1,24,Distace sensor
Pads,46,2,2,9,9,127,127,0,0,1,2,20,20,0,0,0,0,0,0,0,0,23,585,8,62,22,1,24,Pads input - impulse to MIDI
PAGE,35,2,0,10,10,127,127,0,0,1,1,17,17,0,0,0,0,0,0,0,0,190,585,8,62,22,1,24,Page switch - presets
Mouse,45,0,0,0,0,127,0,0,0,1,1,25,25,0,0,0,0,0,0,0,0,600,225,8,62,16,1,0,Mouse emulation - ignored on Arduino UNO boards
general,60,2,0,6,6,14,14,0,0,1,1,26,26,3,3,0,0,2,2,0,0,600,255,8,62,16,1,0,General settings for DART ONE circuit
43,41,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,309,431,1,25,28,1,32,.
54,49,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,349,380,2,25,28,1,32,.
56,50,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,390,380,2,25,28,1,32,.
52,51,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,430,380,2,25,28,1,32,.
50,52,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,471,380,2,25,28,1,32,.
55,53,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,349,431,2,25,28,1,32,.
49,54,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,390,431,2,25,28,1,32,.
53,55,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,430,431,2,25,28,1,32,.
58,47,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,632,380,1,25,28,1,32,.
51,56,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,471,431,2,25,28,1,32,.
62,57,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,512,380,1,25,28,1,32,.
64,58,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,552,380,1,25,28,1,32,.
60,59,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,592,380,1,25,28,1,32,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1024,640,,,
